Year,Algeria,Angola,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Benin,Bolivia,Brazil,Burkina Faso,Cambodia,Cameroon,Canada,Chad,Chile,"China, People's Republic of",Colombia,"Congo, Dem. Rep. of the","Congo, Republic of ",Croatia,Cyprus,Czech Republic,C̫te d'Ivoire,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Guinea,Haiti,Honduras,Hong Kong SAR,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,"Korea, Republic of",Kuwait,Kyrgyz Republic,Lao P.D.R.,Latvia,Libya,Lithuania,Luxembourg,Madagascar,Malaysia,Mali,Malta,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Papua New Guinea,Peru,Philippines,Poland,Portugal,Qatar,Russian Federation,Rwanda,Saudi Arabia,Senegal,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Tajikistan,Tanzania,Thailand,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Advanced G-20,Advanced economies,Emerging G-20,Emerging Market and Middle-Income Economies,Emerging and Middle-Income Asia,Emerging and Middle-Income Europe,Emerging and Middle-Income Latin America,Emerging and Middle-Income Middle East and North Africa and Pakistan,Euro area,Low-Income Developing Asia,Low-Income Developing Countries,Low-Income Developing Latin America,Low-Income Developing Oil Producers,Low-Income Developing Others,Low-Income Developing Sub-Saharan Africa
1990,3.185425685,no data,no data,-0.232170356,-2.570026844,no data,-0.180569837,no data,-6.99273191,-2.373390555,-4.400000733,no data,-7.535957507,no data,no data,-5.911422126,no data,2.256417869,-0.718855095,-0.406030402,no data,-4.103315379,no data,no data,no data,no data,-1.537945455,no data,no data,no data,no data,-6.66234143,6.633714416,-2.433780775,no data,-2.054134092,-13.10429978,-3.933087969,no data,-2.150641075,0.641825259,no data,-3.220204678,-7.929556252,no data,-2.130307272,-2.737875486,no data,-11.09919279,1.991938421,no data,-4.367288764,no data,-31.98309551,no data,no data,no data,3.462776071,no data,no data,-0.494167309,0.149006252,no data,no data,-3.295164066,no data,-8.01350114,-1.433145614,-4.416018221,no data,no data,-4.08309537,-2.762974199,no data,no data,-0.671176415,1.954306844,5.475417863,no data,-2.035210175,no data,-1.505651329,no data,-6.921870641,3.226321144,no data,no data,no data,no data,1.965814016,no data,no data,no data,-3.905180059,-6.603734071,-16.20748934,3.707465734,-0.047211496,no data,no data,no data,no data,no data,no data,no data,-1.391806134,no data,no data,no data,3.837691511,no data,-10.2734853,no data,no data,no data,no data,no data,no data,-3.61912286,no data,no data,-1.998535881,no data,-0.403447001,-2.633945975,-2.150641075,-2.361828163,-11.16835268,no data
1991,3.801042068,no data,no data,-2.793843278,-2.945597989,no data,0.521462141,no data,-7.672130619,-2.251836156,-4.200000027,no data,-2.771556458,no data,no data,-8.359398267,no data,1.546178446,-1.043601088,0.349558336,no data,-11.19545205,no data,no data,no data,no data,-2.930545247,no data,no data,no data,no data,-5.826596569,0.300882929,-2.862952904,-3.189052844,-1.571738408,-9.493976109,-3.248325356,no data,-2.155835844,3.127408966,no data,-0.742137338,-7.764013903,no data,-2.015628087,-2.84619952,no data,-11.04051357,1.704541807,no data,-8.736802332,no data,-151.3092102,no data,no data,no data,8.682763739,no data,no data,-4.398129484,1.601570994,no data,no data,1.580155469,no data,-5.446194398,-0.970024612,-2.088883825,no data,no data,-2.055636862,-6.173813082,no data,no data,-1.662685198,-0.118882445,0.133255366,no data,-0.622997313,no data,-0.258926753,no data,-8.03640785,-2.569254883,no data,no data,-3.281244525,no data,0.681668507,no data,no data,no data,-4.584653708,-8.241035999,-26.47715974,0.305510724,-1.902017309,no data,0.604511181,no data,no data,no data,no data,3.849477211,-2.651790068,no data,no data,no data,-2.276180348,no data,-5.761653995,no data,no data,-2.608441616,-2.69390878,no data,no data,-3.205730651,no data,no data,-3.298803934,-5.100464822,0.367640504,-2.785420909,no data,-2.806801866,-8.807608278,-3.023162612
1992,0.751453045,no data,no data,-4.7527867,-2.136688259,no data,0.419493706,no data,-8.419847914,-1.983949184,-4.400000071,no data,-2.509119285,no data,no data,-9.199149263,no data,2.108503707,-1.224926783,-0.066893306,no data,-12.68441324,-3.213777631,no data,no data,no data,-2.571247488,no data,no data,no data,no data,-4.780213262,-4.88114493,-4.601130167,-2.6050198,-4.822960119,-10.49768118,-2.25929045,no data,-1.490039285,2.625239325,no data,-1.938581937,-7.757095069,no data,-1.068155304,-2.888987632,no data,-10.04998473,0.584903881,no data,-11.02078544,no data,-49.5784742,no data,no data,no data,0.109828818,no data,no data,-5.003861736,1.80547431,no data,no data,2.393153801,no data,-6.932093531,-1.995969005,-1.919805582,no data,no data,-3.126565697,-6.298670587,no data,no data,1.326477091,-2.065565195,-5.559660812,no data,-4.332955731,no data,-0.429793722,no data,-5.305873018,-2.736188336,no data,-8.549044387,-8.121051674,no data,2.701406574,no data,no data,no data,-4.269929251,-5.11819426,-24.51715076,-8.457138966,-3.05005072,no data,-4.958785044,no data,no data,no data,no data,3.320871641,-5.461830018,no data,no data,7.34216425,-6.367893672,no data,-10.9048328,no data,no data,-3.368802933,-3.571407256,no data,no data,-3.085346341,no data,no data,-5.295931216,-5.142805968,-0.292085736,-3.052315145,no data,-2.286789197,-9.434752227,-2.759878412
1993,-5.915993962,no data,-0.024283554,-4.735155611,-4.541946552,no data,0.502293141,no data,-7.708515027,-0.413379827,-6.099999931,no data,-3.810411981,no data,no data,-8.934764945,no data,1.419494171,-0.895421286,-0.239865803,no data,-11.30642929,-0.483443651,no data,no data,no data,-3.672401574,no data,no data,no data,no data,-4.002754641,-8.083092252,-6.358794486,-3.094940288,-5.8512377,-11.29324145,-2.644993016,no data,-5.208621106,1.994149301,no data,-4.408375002,-8.422456797,-0.588573955,-6.224354067,-2.6706111,no data,-9.716237237,-2.435356676,no data,-11.41802841,no data,-15.74735142,no data,no data,no data,-5.958867929,no data,no data,-6.33821748,3.439744485,no data,no data,-1.603235986,no data,-11.41436369,-2.16558227,-2.61214792,no data,no data,-3.139122005,-1.555630432,no data,no data,-8.554766999,-1.643094446,-7.835942379,-6.897557599,-4.904576711,no data,0.622953871,no data,-8.165886675,-9.527796864,no data,-7.831243424,-9.326964648,no data,4.356950718,no data,no data,no data,-6.89839034,-5.969015138,-8.042200486,-10.82439357,-3.238268491,no data,-2.023239438,no data,no data,no data,no data,-2.815853365,-6.676261761,no data,no data,-12.22770643,-2.920910866,no data,-12.79583453,no data,no data,-4.591400145,-4.716520245,-2.565463031,-2.635743968,-2.290867999,no data,-0.979786218,-7.072479798,-5.865618315,-0.392674412,no data,no data,-9.786598962,-11.94276382,no data
1994,-1.864595939,no data,-1.249802355,-3.801474021,-5.013404188,-6.415858828,0.037795566,no data,-5.287641002,-1.56626089,-3.000000006,no data,-1.88707663,no data,no data,-6.935977535,no data,1.444901666,-1.690205129,-0.137971731,no data,-10.62698922,1.751680196,no data,no data,no data,-3.602986851,no data,no data,no data,no data,-5.230469874,-6.399535575,-5.422984116,-2.523844661,-5.452735782,-8.358910961,-2.605106867,no data,-0.971971805,1.011431538,no data,-4.641663005,-7.859094074,0.00485037,-3.970638017,-1.852794921,no data,-8.798216385,-3.811338609,no data,-5.515622605,no data,-9.137834755,no data,no data,no data,-2.752523274,no data,no data,-7.232908359,5.448558356,no data,no data,-2.365070307,no data,-8.330095484,-2.717551033,-4.155241812,no data,no data,-3.539703624,1.965570138,no data,no data,-4.165606738,0.041252456,-8.557175068,-4.52704343,-1.00921829,no data,-0.441070259,no data,-7.46772535,-11.80037732,no data,-11.32170649,-8.311637825,5.708183287,7.904685911,no data,no data,no data,-6.322850298,-7.654956361,-3.032347236,-8.729767966,-2.668866395,no data,-3.737071552,no data,no data,no data,no data,-1.781910771,-5.747471491,no data,no data,-4.576001814,-11.18743968,no data,-14.02725769,no data,no data,-4.578630663,-4.531154022,-3.057496097,-2.817215961,-2.55389879,no data,-2.130984307,-5.205325876,-5.057116862,-0.14037355,-4.463116081,no data,-6.793930635,-10.66624885,-4.182493398
1995,0.586636342,no data,-2.074606161,-2.610142796,-6.140539419,-1.0934858,-0.444193131,no data,-4.50854914,-1.913124195,-1.816584424,no data,-2.645588122,no data,no data,-5.489640113,-4.052345458,3.116399735,-0.95252502,-0.998556468,no data,-6.379538956,-1.135223401,-0.712397275,-12.35590169,no data,-3.62003043,no data,-1.937034889,no data,-0.230436544,-2.677278203,-5.970633898,-5.108542995,-9.432231435,-4.877794872,-9.730937849,-1.94635358,no data,-0.244308963,-0.290894763,-8.603468904,-2.935227258,-6.696948115,0.640948135,-3.189947629,-2.11233381,no data,-7.210263862,-4.392403584,no data,-0.305790725,2.235069236,-1.856684928,-13.51701149,no data,no data,3.918742602,-4.026633633,2.695634317,-5.087550777,3.102752362,no data,no data,-2.4049466,-2.583014839,-4.250287704,-2.747989149,-2.542285093,no data,no data,-8.731683189,3.669880321,no data,-3.176745733,3.550315156,2.961094771,-4.470049556,-4.864803128,1.077478842,no data,-0.015911307,-4.414393015,-5.241844756,-5.778996823,no data,-2.420604588,-5.122763095,2.348440803,4.803523194,-3.473360448,-8.147110067,no data,-6.80183734,-7.349573635,-3.480034403,-6.973142582,-1.913635699,no data,-2.117470592,3.054326747,no data,no data,-4.72142058,3.571049414,-4.97469894,no data,no data,-1.810455706,-5.864383715,no data,-5.739307577,no data,no data,-5.45167645,-5.339342027,no data,-1.968699648,-1.352584101,no data,no data,-2.027276544,-7.330581567,no data,0.468296411,no data,2.506102233,-4.105024446,1.4475633
1996,3.912373541,5.907380357,-2.810610432,-1.459720571,-4.35710811,-2.163902732,-2.375436905,no data,-4.002603972,-0.108263045,-1.900000016,-5.346246687,-1.666069792,-7.535788245,no data,-3.05256596,-3.711053574,2.085459912,-0.740213912,-2.494878364,-0.561980951,9.195060399,-1.198606901,-2.956325584,-2.994279092,no data,-2.482573914,no data,-3.292046488,no data,-0.90658179,-3.814448325,-3.366868137,-3.905879422,-3.570402523,-6.038084851,-8.158234421,-2.21619804,no data,0.126739629,2.038088105,-4.368487449,-1.584238493,-6.589632972,0.962360913,-0.918579994,-0.231398975,no data,-6.614671776,-4.985195135,no data,-0.653042382,2.3779115,11.60661284,-9.095616879,no data,no data,11.68153493,-4.244809966,2.324127023,-3.970637581,3.269790264,no data,no data,-3.843877311,-7.42327153,-5.888656331,0.938858423,-2.006637249,no data,no data,-1.822850925,2.549531459,no data,-0.35916423,4.748212483,6.007766543,2.542619295,-5.408752701,2.05453547,no data,0.533355997,-4.865023277,-4.749573669,-8.728482968,no data,-5.937815527,-3.246769184,0.905299388,1.982856985,-9.815775499,-1.095716744,no data,-5.888375551,-7.124405304,-2.610483092,-3.091031949,-2.07491655,no data,1.570933934,2.749301283,no data,no data,-3.093274027,0.940779063,-3.547002188,no data,no data,-1.664227399,7.939882773,no data,-0.917932172,no data,no data,-4.057269141,-3.783279601,-3.223123318,-2.139937256,-1.148897483,no data,-3.574707039,0.679638695,-4.360717729,no data,1.161457457,no data,4.532993991,-2.420897421,2.286285309
1997,2.930436659,-0.304461474,-1.837621355,-0.494019209,-2.371827174,-1.031510201,-2.284108449,no data,-2.15103904,0.468233153,-3.280902657,-5.603940199,-2.642848881,-3.723821425,no data,0.038702165,-3.34565104,2.058889193,-0.733380182,-3.226762007,-1.055730252,3.667710097,-1.710249672,-4.821161999,-3.164446501,-0.749175759,-1.200213938,-1.14386736,-2.703631201,no data,3.01102361,-1.701994904,-1.324826049,-3.652911523,-2.942100298,-6.623497025,-6.056035986,-2.148776185,0.642350513,0.080106047,6.317543685,-5.527043792,-0.049593787,-8.13344322,-1.033756429,-2.1902037,1.344886749,no data,-2.981623241,-3.596156456,no data,-1.207465791,2.393903489,17.16600179,-9.304490651,no data,no data,-2.172103915,-1.70475732,2.645244999,-1.997251403,4.840118079,no data,no data,-3.63633337,-7.470582793,-6.924197871,1.621947509,-1.771418683,no data,no data,-1.582729524,1.208740383,no data,-2.378834246,1.599203981,7.352170523,5.470941785,-4.824587389,0.672905271,no data,0.364941248,-4.63107399,-3.707100488,-9.403828544,no data,-2.634245935,-2.505737733,0.972208787,5.663036098,-6.266330282,-2.306941784,no data,-3.866533741,-5.902672395,-0.590306825,-1.54972307,-2.400236315,no data,-0.026471672,-1.680828895,no data,-0.82914947,-5.373913832,6.796592812,-1.996354036,no data,no data,-2.171218017,2.577187545,no data,-1.502049329,no data,no data,no data,-2.356203795,-3.467670656,-2.605109406,-2.090499121,no data,-3.639680414,0.550909574,-3.051287442,no data,-0.284966318,0.286846072,1.475900292,-2.224903663,0.247337884
1998,-3.576341021,-6.709324933,-1.827434359,-0.24629886,-2.668765336,1.63119009,-2.571083495,no data,-1.024700805,1.832176761,-5.1,-7.220582439,-2.597693741,-5.357758978,no data,0.142682776,-2.244788511,0.392224967,-1.087653407,-3.864130679,-1.548478036,-5.159991398,-2.745567585,-3.851035883,-4.16178249,-0.696897772,-0.388537142,-0.771255869,-4.87985012,no data,0.676073873,-3.51143696,1.536431097,-2.378585335,-2.566892704,-5.692790258,-6.268411263,-0.502102561,0.362981704,2.893287968,-1.800995393,-7.458212995,-0.646728364,-9.574478112,-1.893491985,-6.0226084,2.04777605,no data,-2.988261905,-10.22463566,no data,-0.036254205,1.130435017,6.87881344,-11.96466933,no data,-0.642413705,-2.438425501,-5.59576773,2.972374657,-5.307739179,-0.627248857,no data,no data,-4.755545774,-1.521632104,-10.55476539,1.591024575,-1.063193591,-4.622900532,no data,-1.353808697,-0.504845435,no data,-2.2244929,-4.892000471,3.066914658,-5.009779545,-5.569636725,-0.164736521,no data,-1.302317721,-4.275772801,-4.273798555,-7.00064473,-7.42350776,-3.07284749,-8.875224296,0.928940197,2.413933157,-5.297117442,-2.326111596,no data,-2.631692888,-7.014124789,-0.561008989,0.845833885,-1.343479463,-4.745749415,0.132649965,-6.292091253,no data,-0.704580448,-2.687960264,1.021849176,-0.328089324,no data,no data,-3.220465048,-4.489350282,-0.099042296,-7.771003278,no data,no data,no data,-3.805169804,-4.890638139,-4.499412969,-3.466599013,-5.832683936,-5.007182962,-4.37824859,-2.445031052,-1.772994298,-3.149855933,1.96023548,-4.953644174,-3.551316348,-3.651918714
1999,-1.89458923,-10.64460822,-3.705086124,0.667179853,-2.618030067,-1.032786477,-1.563550685,no data,-0.648395005,1.944146944,-3.836567058,-5.174557657,-3.286904208,-3.802439323,no data,1.655576247,-5.278590444,-2.031241691,-2.322645498,-5.367242554,-1.348249248,-4.745997859,-7.022565165,-4.053845759,-3.117333775,-1.267979261,0.868934154,-1.298563483,-4.617337897,2.135181042,-3.392761528,-8.230808193,1.595543509,-1.602927625,-1.719220386,-6.092241115,-5.793450882,-2.182406305,-2.660478043,1.3812497,0.761990755,-5.137217073,0.817456746,-8.550728602,-0.959390205,-0.616571947,3.520220985,no data,-1.772796471,-6.873160066,no data,0.637946455,1.187209296,15.15433654,-13.52278393,no data,-3.450186279,5.874506244,-8.282333757,3.229116323,-2.420563572,-3.002698643,no data,no data,-4.721342042,-2.639090816,-8.476684765,3.469156326,-0.335063401,-4.212561832,no data,0.253421669,-1.140178718,no data,-4.260080341,-1.95844854,5.718314222,0.346682163,-3.830270866,-1.936498923,no data,-2.276246764,-2.311381374,-2.987588135,-4.352842522,-3.586600528,-5.234706434,-5.99137324,-0.622868312,5.203832731,-7.172994304,-2.971567227,no data,-1.238329325,-5.772005134,-0.799562008,0.633121572,-1.615874169,-4.03175014,-1.138976744,-9.017192244,no data,-1.23720658,4.954458362,1.330557806,0.626988187,no data,-3.012186922,-3.080230489,0.742750787,-1.245925619,0.060175298,no data,no data,no data,-2.341704918,-4.294460138,-3.456563367,-4.095444991,-2.918371217,-4.270700639,-0.188080097,-1.51339778,-1.710179822,-1.987863257,-0.205588509,-1.925782835,-2.248556546,-2.182202496
2000,9.701394446,2.289322438,-3.416751183,1.254070568,-2.063208721,0.144727517,-2.918305461,no data,-0.079219584,-3.692199256,-3.728130401,-3.319675883,-3.027830265,-4.815447139,1.614426938,2.639703961,-6.072750732,-0.696698071,-2.845991505,-2.9558807,-1.845960544,1.046864035,-5.493984205,-2.239756864,-3.564195284,-0.830559712,1.887315728,-1.395000562,-0.306545905,1.32027816,-0.087438652,-8.88036366,6.726667742,-1.318490313,-1.584664476,-4.2866894,-4.063095145,-2.454890694,-2.338243612,1.508103363,-0.587149593,-3.032568471,1.223316333,-8.264003329,-1.869997613,6.631747602,4.849845688,-0.950199229,-2.423333465,-8.252212809,no data,-0.047752176,4.04960052,31.61395897,-10.69669466,-3.575557095,-2.509553484,14.0769253,-3.98026584,5.528763871,-2.35253754,-6.052531378,-2.642545499,-5.804955424,-2.814772249,-3.546063797,-4.980202315,-2.13554391,-1.345272019,-5.582052414,-1.688982382,1.165468676,0.144959928,2.094630345,-2.819048162,4.065055724,15.06484511,13.87570662,-4.009391436,0.303521225,-2.115749849,-3.273769477,-2.981482526,-3.397991191,4.621880259,3.107075867,-0.260414263,3.184129145,0.788395262,4.592846764,-12.63095723,-3.645023895,-1.538852566,-1.16076073,-8.039779604,-0.69807111,3.14697874,0.289252401,-5.554753176,-0.730489235,-1.792068001,-8.369958562,-0.623678685,-3.186267271,10.56730307,1.360012121,no data,-3.009152679,-3.875061334,4.449624304,-1.60529925,6.08732201,1.160610163,no data,no data,-2.333313332,-3.165951379,-1.642664221,-4.100157185,-2.830068887,-2.53072978,7.001081131,-1.27255729,-2.521205734,-0.720312847,0.753174554,3.976773581,-0.887964614,0.222728116
2001,3.739585058,3.176461513,-5.364146344,-0.030366361,-0.658410312,21.76404562,-4.080077757,-4.900552118,0.233037623,-3.269426664,-6.819600146,-3.171758693,-3.557443584,-5.14641412,0.908901616,0.529468967,-4.585337024,-0.498430396,-2.595871648,-2.918642899,-1.272856613,-0.705858267,-5.722979164,-2.107402184,-5.461966573,0.699235343,1.14055439,-1.628853133,0.030917104,-1.06982542,0.179144903,-3.760400444,4.891169068,-1.379209466,-3.025444871,-3.900145546,-5.46604991,-3.308429337,-2.725235793,-3.118870878,-4.836281548,-4.054368226,-0.9668453,-10.84282609,-1.763414748,1.008416468,0.944916748,-3.96890734,-3.190306547,-6.538313503,no data,-1.269346361,2.507869282,28.67138936,-6.747459221,-3.682978912,-1.991208326,0.069042123,-3.616960138,5.682735992,-3.614406154,-4.360678479,-2.798265618,-6.49114747,-2.706675653,-0.344750246,-3.696275062,-4.101552088,-4.717454074,-5.830279334,-2.684784875,-0.475636101,1.26158068,0.28508935,-2.580375971,-3.221992192,13.20765452,8.613198442,-3.059927898,-1.329111155,-2.153764492,-3.494121809,-4.785894368,-4.783155957,4.480566346,2.991244534,-2.114487871,-3.905922395,-1.517749638,1.196592559,-7.220613697,-4.450602193,-1.131747336,-0.454926083,-8.76587081,-0.766880761,1.412292295,0.213453587,-3.18848011,-0.414088584,-1.768093556,-11.66831799,-0.993817731,-3.031377244,1.205323596,0.21386986,-0.536768469,-3.111705015,-3.473917387,-4.593408018,-2.192236998,2.787014748,-5.892186391,no data,-1.90588484,-1.65431978,-3.769434316,-2.978626439,-4.408520466,-3.161168825,-3.219154345,1.000251965,-1.957010655,-3.360890493,-2.489938192,-1.930971427,-2.46099514,-1.073145419,-2.327168338
