Year,Algeria,Angola,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Benin,Bolivia,Brazil,Burkina Faso,Cambodia,Cameroon,Canada,Chad,Chile,"China, People's Republic of",Colombia,"Congo, Dem. Rep. of the","Congo, Republic of ",Croatia,Cyprus,Czech Republic,CÃ´te d'Ivoire,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Guinea,Haiti,Honduras,Hong Kong SAR,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,"Korea, Republic of",Kuwait,Kyrgyz Republic,Lao P.D.R.,Latvia,Libya,Lithuania,Luxembourg,Madagascar,Malaysia,Mali,Malta,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Papua New Guinea,Peru,Philippines,Poland,Portugal,Qatar,Russian Federation,Rwanda,Saudi Arabia,Senegal,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Tajikistan,Tanzania,Thailand,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Advanced G-20,Advanced economies,Emerging G-20,Emerging Market and Middle-Income Economies,Emerging and Middle-Income Asia,Emerging and Middle-Income Europe,Emerging and Middle-Income Latin America,Emerging and Middle-Income Middle East and North Africa and Pakistan,Euro area,Low-Income Developing Asia,Low-Income Developing Countries,Low-Income Developing Latin America,Low-Income Developing Oil Producers,Low-Income Developing Others,Low-Income Developing Sub-Saharan Africa
2013,-0.399960355,-0.303788881,-3.253828427,-2.812740563,-1.950076919,1.643475099,-3.380950506,-0.981959041,-3.129301568,-1.365033987,0.656366485,-2.955004275,-3.547978636,-2.616319114,-3.705266412,-1.494705998,-2.06506775,-0.469625822,-0.836155369,-1.020744499,1.874388453,-2.849273704,-5.337294578,-5.172576675,-1.234162022,-1.620946129,-1.235647209,-3.472395611,-4.570096766,-12.92682219,-0.169412619,-1.930531162,-2.524948488,-4.084094523,0.039980792,-9.177944997,-3.621840646,-3.873610394,-7.009226526,-5.729798638,1.007552967,-2.602763252,-1.776399951,-6.999618196,-2.21677129,-0.897657454,-6.196213329,-3.969403633,-2.854253384,-7.910520286,4.945693553,-5.696469697,0.618971959,34.11377977,-3.699422342,-4.030674231,-0.559569227,-5.108009164,-2.618708031,0.820008817,-3.402964519,-3.478227832,-2.371998742,-2.334994263,-3.707050792,-1.565176163,-0.927077623,-5.088298217,-2.58857705,-1.717432423,1.810077227,-2.928703046,-1.296758542,-0.710709796,-1.92878951,-2.236676287,10.66825474,4.677535108,-8.368800612,-6.869744309,0.735140082,0.187422363,-4.181917327,-5.104507946,21.55934531,-1.162177877,-1.264318389,5.638504695,-4.324716266,5.962163662,-2.869611997,-14.57852709,-4.267668745,-7.035932839,-5.185399481,-5.759499899,-1.395934937,-0.443564455,-0.901501823,-3.809762924,0.515540594,-1.458263056,-3.190482822,-4.784336315,8.394936711,-5.526205187,-4.56396358,-1.878622529,2.312358412,-11.26458124,-5.964025798,-6.897118695,-6.207747691,-0.620527424,-4.100107094,-3.73032478,-1.823580095,-1.460248055,-1.801975297,-1.488405816,-3.1729043,4.962781261,-3.012908926,-4.264764921,-3.309753632,-4.561800109,-2.60087955,-2.523150463,-2.960257936
2014,-7.300076617,-5.720349848,-4.252429085,-2.918617759,-2.729141959,2.742339379,-3.076787055,0.092110405,-3.055552798,-1.650544396,-3.363624188,-6.021062709,-1.737416156,-1.642672921,-4.250527119,0.17489616,-4.18235925,-1.490456333,-0.885287508,-1.744077029,-0.017410013,-10.73220658,-5.349518021,-0.234369615,-2.083890389,-1.568286088,1.144427647,-2.752731334,-5.223995794,-11.28648436,0.680614361,-2.582328858,-2.98747686,-3.904659346,0.579552713,-7.975388052,-4.06972058,-3.20727301,-6.279899911,-2.89690526,3.592018462,-2.78421958,-0.071953548,-7.071068563,-2.145667473,-1.139558466,-3.619527756,-2.269233296,-2.954396724,-5.635756486,2.48184788,-7.390232007,0.397084576,22.36400029,-3.068269881,-3.132231383,-1.679630015,-73.81037219,-0.664937282,1.300567593,-1.960686063,-2.62843747,-2.886447098,-1.69807166,-4.534639653,-1.585012059,-3.725394185,-4.848407566,-10.26184504,-1.315294769,1.531011327,-2.152004289,-0.43964313,-1.270881633,-6.10453222,-2.038719837,8.622987544,-1.079853429,-4.852154379,-6.265024183,-0.228065723,0.826417643,-3.64616404,-7.309121388,15.40426287,-1.069955791,-3.900358956,-3.541991719,-3.386812365,4.599847214,-3.109800317,-5.507210178,-4.263063401,-5.915373422,-6.231145555,-4.717110377,-1.525798138,-0.253055468,-0.126173413,-2.911427175,-0.800923002,-1.422647354,-2.740455131,-4.459976275,1.911034895,-5.557086197,-4.057772244,-2.836202581,2.0514632,-15.55323382,-5.016688996,-4.136083974,-5.798845179,-0.420596268,-3.430429572,-3.116015718,-2.581763322,-2.435095082,-1.860362077,-1.437561426,-5.044967258,-1.115722265,-2.460525945,-3.718963817,-3.1307137,-3.153469019,-2.546876118,-1.678293267,-3.112921713
2015,-15.26741423,-2.91724083,-6.000558031,-2.786837186,-1.046242301,-4.813986477,-3.974927541,-2.963639129,-2.413643323,-5.552835897,-6.904266322,-10.25295625,-2.089716888,-0.646041446,-4.421641287,-0.061845591,-4.380174613,-2.076869328,-2.792097927,-3.520222725,-0.405973609,-17.80514785,-3.315317225,0.012901778,-0.610977092,-2.042156577,-1.329580879,-0.033001055,-6.119415471,-10.93400723,0.068503703,-1.947067005,-2.361094685,-3.62517467,0.960550926,-4.076838065,-2.77053786,-6.891719455,-2.503047434,-0.781103247,0.595103276,-2.014365276,-0.791604692,-7.202905851,-2.603505797,-1.76307774,-1.976518049,-0.913684203,-2.552201794,-3.80733035,-6.259289215,-8.089112641,0.521646175,5.593411959,-2.516820407,-5.570364601,-1.529113583,-130.7958341,-0.207921376,1.292979269,-2.850272851,-2.545870347,-1.821700478,-1.042342931,-3.995195071,-1.942798789,-4.987286218,-4.170516727,-6.660682449,-2.783192624,0.656744023,-2.024614207,0.316496062,-1.441587326,-6.74624365,-3.164689497,6.022368448,-15.94333101,-5.253838203,-4.549699417,-2.124992129,0.585938333,-2.615841451,-4.346235001,21.7128568,-3.386425437,-2.668572558,-15.83843806,-3.663397441,2.863210298,-2.672076351,-2.847428486,-4.774586852,-5.176922577,-7.012643393,-3.823910618,-0.002487988,0.557048873,-1.972164486,-3.168578522,0.132379482,-1.258540182,-2.550015241,-1.159825106,-3.363278172,-4.591276731,-3.555532588,-2.025829589,-0.254890163,-10.65156915,-4.983205301,-8.749793204,-9.539029619,-1.418291592,-2.886292646,-2.624126936,-4.451861066,-4.264333209,-3.266049014,-2.697092963,-6.768972661,-7.666923588,-1.978580344,-4.126393914,-3.731349444,-1.333320682,-4.008932956,-3.260593079,-3.707474051
2016,-13.05147134,-4.520203839,-6.654668983,-2.419159707,-1.573603336,-1.126284716,-3.361487692,-1.659082683,-2.363567479,-4.288630665,-7.243425006,-8.990842468,-3.084871826,-0.299682118,-6.09203861,-0.453164226,-1.936609121,-2.649455019,-3.703005601,-2.273956996,-0.494661694,-15.64343938,-0.950511008,0.089016526,0.711630264,-3.006059478,-0.105986833,-3.103226919,-8.231522464,-12.46991954,-0.327610062,-2.340485188,-1.666069015,-3.61169834,1.160351417,-6.887500255,0.551687681,-0.14739382,0.026473495,-0.397364584,4.387711302,-1.812347446,12.42858106,-7.118060608,-2.486273918,-2.268359862,-0.694224596,-1.399962845,-2.403898603,-3.696624623,-4.50321692,-8.467459845,1.645929309,0.302033103,-5.79019542,-5.060118303,-0.399849701,-113.1803885,0.259170603,1.813105097,-1.107233859,-2.602892821,-3.942313696,0.935628476,-2.765296443,-1.546563908,-15.28759891,-4.483973514,-5.482624518,-3.867961198,1.351962048,0.020894009,1.023408856,-1.699741653,-4.462780701,-4.012719934,4.055584175,-21.30887744,-4.415687184,-4.746228317,-2.253786258,-0.353222391,-2.372878897,-1.935023256,-4.81856885,-3.670081601,-2.25952923,-17.20347219,-3.27210404,3.656912747,-2.476113146,-1.934767853,-4.06723149,-4.305196438,-5.337791899,-4.562327214,0.991861665,0.244068059,-9.031854513,-2.083237982,0.569331943,-2.337884364,-3.564368164,-2.228727628,-2.819397859,-3.347769306,-4.364096217,-2.902521635,0.80947904,-10.81212977,-3.163962021,-8.525614047,-6.097491444,-6.241511596,-3.111875178,-2.68081033,-4.867120757,-4.76225744,-3.940732163,-2.883375178,-6.174178837,-10.18635435,-1.458744176,-3.297879018,-3.712212954,-0.721313109,-4.714933566,-2.985000715,-4.250687903
2017,-6.647062307,-6.303819228,-6.693341132,-1.716499543,-0.699195076,-1.366142496,-3.339583242,-0.336524545,-0.690694394,-4.203744682,-7.823764988,-7.856660461,-6.884186411,-0.775090482,-4.87174496,-0.126102993,-0.23144412,-2.621594787,-3.835419912,-2.495518534,1.354790244,-5.932308787,0.796993671,1.661701522,1.501112461,-3.332772864,1.520340397,-3.087523747,-4.461325137,-10.4287147,-0.378993854,-3.243369512,-0.684716265,-2.933952975,1.361898977,-4.060992758,1.041800445,-2.059282135,0.039549689,-0.408380704,5.492424881,-2.456241587,0.583801962,-6.360767275,-2.509060878,-1.816586762,-0.324327764,-1.113790538,-2.445017341,-3.116446424,-4.265508721,-7.835796284,2.188104896,6.266075248,-3.732926298,-5.489469166,-0.827203231,-43.46394813,0.454230375,1.300731155,-2.102886554,-2.411756295,-2.861651794,3.241192498,-1.063277068,-0.639923024,-3.783672655,-3.493079896,-2.923381673,-2.857958975,-3.093908312,1.2601843,1.287796702,-1.576352911,-4.115071116,-5.39972912,4.998510036,-13.95938095,-5.759393372,-2.47470941,-2.934970883,-0.371970855,-1.467865429,-2.956013683,-2.488033925,-1.468925954,-2.516651162,-9.236122155,-2.968032331,5.34118582,-0.952423771,-0.048153981,-4.379609738,-3.024241788,-5.503363832,-6.454332077,1.431516851,1.155611414,-5.964997936,-1.158023831,-0.424927448,-2.182604204,-2.747595564,-2.190798049,-1.950218325,-2.45150403,-4.591435541,-2.704772052,1.288387165,-22.99085952,-1.963997571,-4.904564229,-7.587781846,-8.113188453,-2.948514638,-2.384032503,-4.309680219,-4.153229932,-3.974102273,-1.841898593,-5.549906372,-5.74733034,-0.962460894,-2.736202186,-3.614388715,-0.680709651,-5.365944016,-2.77003782,-4.482894907
2018,-4.468083321,2.188699589,-5.516756482,-1.234561402,0.197711063,5.47802565,-4.640744752,1.804798377,-0.807867152,-2.976436202,-8.143755105,-7.163418822,-4.354771894,0.676446377,-2.487624592,-0.396698347,1.936004309,-1.464831463,-4.654898275,-4.676457758,-0.04814787,5.758977417,0.221874641,-4.232701606,0.910725293,-2.94467195,0.476545824,-2.160391463,-3.175351414,-9.410494884,-0.463287156,-3.029237163,-0.85850502,-2.266967201,1.836634976,-6.971788595,0.873241877,-1.063191709,-1.718512994,0.198015285,2.349854117,-2.148556879,0.817843759,-6.269663844,-1.750199138,-1.9338351,0.116061251,-3.622625778,-2.199337775,-2.496270927,2.579564376,-7.376153972,2.563017051,9.044989453,-0.590098958,-4.663214939,-0.740378444,-0.194252024,0.600471894,3.083104786,-1.329076274,-3.306807817,-4.770234983,1.898171391,-2.197873664,-0.848874383,2.969138134,-3.736125805,-6.845086817,-3.402397295,-6.651135241,1.492660729,1.428019745,-2.983194701,-2.999005041,-4.306347711,7.2227446,-7.893316937,-6.422849558,-2.587121448,-2.001012179,-1.552480186,-0.232640778,-0.442476633,5.922438279,2.901867216,-2.575334791,-5.870572371,-3.643554693,3.716766321,-1.049707664,0.720580136,-4.144318137,-2.536614337,-5.295582902,-7.924040001,0.813784379,1.318735644,-2.780653281,-1.931632916,0.064084981,-3.653836931,-2.735129038,-2.149744766,1.92871721,-2.263904745,-5.786386246,-2.025297585,1.742951528,-31,-1.022605752,-7.848562754,-8.427612471,-4.498821028,-3.317156517,-2.691074733,-4.289442082,-3.83317274,-4.522012909,0.35494924,-5.211934486,-2.468852153,-0.457503231,-2.933946943,-3.440993252,-1.093089122,-4.120269968,-3.034534421,-3.945699734
2019,-5.637875422,0.791853557,-4.46771362,-3.893535908,0.734742612,8.098116445,-5.361850348,0.625853989,-1.908578797,-0.539578284,-7.221629429,-6.01393174,-3.468315423,3.213773689,-3.311318315,-0.346372508,-0.172047325,-2.647457576,-6.312102773,-2.506896198,-2.052528423,5.822491887,0.393216117,1.735350009,0.267435865,-2.287973304,3.807031044,-2.19539323,-3.16917752,-7.40869093,-0.395188151,-2.528271527,-0.907070464,-2.998258653,1.521288471,-7.340687753,0.565999488,-0.464509401,-2.278135604,0.088371853,-1.51049651,-2.047699165,-0.993307915,-8.217843956,-2.229032851,-5.501294428,0.376140757,-3.909972426,-1.639065485,-3.301141448,-0.569542915,-7.734219845,0.37284271,5.380988076,-0.139177411,-5.015736305,-0.383128182,2.192646688,0.26696784,2.145276094,-1.418797456,-3.694462409,-1.679794868,0.530244671,-2.348649755,-1.438703767,0.926411721,-4.127249686,-0.149602114,-3.915735313,-4.561490034,1.662628803,-2.946092894,-0.450612302,-3.559473748,-4.7565371,7.778150904,-7.06175951,-8.98421771,-4.963902521,-1.365615006,-1.780809383,-0.740206091,0.190230717,4.927388971,1.921939155,-5.192619558,-4.452477073,-3.82464206,3.840284867,-1.295249503,0.542425417,-6.253952813,-2.826156259,-8.181079717,-10.88478695,0.403580306,1.474325901,-2.099376548,-1.716202612,-0.81618059,-5.648127609,-5.015195154,-2.042122485,-0.763110023,-2.204424007,-6.349296934,-3.004186366,-0.25735484,-9.999465768,-3.294185678,-5.31944684,-8.142850247,-1.64893392,-3.982679807,-3.299359105,-5.481815069,-4.909930747,-6.083889662,-0.729757198,-4.093397871,-3.411093239,-0.645093829,-4.107995313,-3.998711081,-0.504257215,-4.502675355,-3.746979643,-4.093660627
2020,-11.48734916,-2.807504227,no data,-10.06371033,-9.900176354,-6.312445313,-6.796866432,-4.691568378,-11.353455,-3.742076692,-8.564617472,-16.7813149,-6.084730806,-2.401824535,-4.12458148,-19.92379747,-0.638830013,-8.704899619,-11.88696226,-9.477480026,-1.896024389,-2.105956644,-8.078484706,-5.57625146,-7.30254242,-5.400052381,-3.988057352,-7.786071786,-8.919917664,-7.488764266,-6.829236804,-3.548707411,-6.843674298,-10.76904121,-8.174524783,-16.41633045,-8.994184863,-3.706977975,-5.869532922,-3.091414957,-11.79304292,-8.278291066,-10.04943412,-13.0769607,-6.31481168,-9.529292042,-5.995208773,-12.93660478,-12.98129906,-14.15054934,-5.27428541,-8.385021569,-3.234657409,-8.492280259,-7.28200586,-6.423087212,-5.431201019,-102.937721,-6.715363807,-6.980298288,-5.520191499,-6.532189964,-6.2,-9.395296189,-5.8,-8.002173221,-11.47695351,-7.79176126,-7.060710294,-6.016403073,-7.928401246,-8.756912266,-9.247950936,-4.272329309,-4.823021001,-6.739285481,-1.785540708,-18.7073027,-8.011291001,-6.265670886,-9.408163974,-8.063163203,-10.46387853,-8.351069595,3.028858939,-5.284872277,-7.715834147,-10.56392043,-6.23375267,-10.77342596,-8.838585155,-8.819925126,-14.04324023,-14.092212,-9.628885327,-6.831422276,-5.899341215,-4.208118192,-5.998675279,-1.859820768,-5.210684039,-7.87802356,-6.551615767,-7.81,-9.899105513,-16.46343145,-18.71772878,-5.768929948,-4.137857183,no data,-6.02236079,-9.210897916,-5.996931736,-1.847507269,-15.47096794,-14.38738758,-11.26596188,-10.72011891,-11.40055936,-7.178867239,-11.08945224,-9.847744633,-10.11034574,-6.319282462,-6.222847027,-3.933445481,-6.661528865,-6.10813786,-6.25517182
2021,-11.37601106,-0.12853342,no data,-10.45578637,-3.944859107,-5.788582457,-6.080418151,-2.770437594,-6.301218363,-3.445440202,-7.07574931,-6.518764113,-4.6,-2.386807652,-3.272641239,-8.71926743,-1.226648701,-4.006235475,-11.77995622,-6.19513522,-0.27219811,1.83831622,-4.14466882,-2.031526494,-4.292313063,-4.098140476,-2.993465647,-3.3054972,-2.923472615,-8.082953154,-4.865502517,-3.073854561,-4.142445841,-6.451190386,-3.198558929,-9.254971012,-3.010005871,-3.079100249,-4.656224478,-2.661155905,-6.568724898,-3.858019017,-6.995060759,-10.92976847,-5.494971819,-6.849945726,-2.74087939,-7.051878853,-6.182609612,-6.417344974,-3.327078287,-8.527109989,-2.329830307,-10.6920606,-5.455208866,-5.729587507,-3.257230336,-43.22320402,-3.803142686,-1.694756873,-5.338910557,-4.672712751,-4.5,-3.870130052,-3.4,-4.299497693,-4.870184506,-6.015037299,-5.265086683,-6.45347002,-6.730031147,-4.903167924,-8.721287299,-3.006535717,-4.738798208,-4.972266219,2.044278426,-16.82437943,-6.710273511,-5.35202645,-4.30926836,-7.307350338,-4.336758178,-2.711283024,3.332071483,-2.57396741,-7.05001182,-5.964604535,-4.484675268,1.16488363,-4.591642551,-2.809538429,-11.14071072,-7.51234321,-8.09300937,-4.250207906,-1.966864732,-1.419890907,-4.443109989,-2.780704277,-4.921339312,-7.928725757,-6.946210933,-5.25,-5.05159238,-9.193219953,-8.672604021,-4.018071959,-2.685139303,no data,-5.171771439,-6.041757581,-5.036359965,-0.817953284,-7.465284658,-6.899963683,-9.946858383,-9.156441337,-10.96218829,-4.45783931,-5.289173266,-6.996631542,-4.990097916,-5.669357035,-5.078224327,-3.097807647,-4.875146106,-3.883036046,-4.860462103
2022,-9.194073361,0.9798319,no data,-6.220475204,-2.291456535,-5.137660987,-5.450658314,-1.839410471,-5.426157777,-2.778398585,-5.887385148,-5.585135813,-4,-3.199687169,-2.606014829,-5.385423416,0.780977133,-3.800297134,-10.90386886,-3.155093133,-0.26770885,3.830830616,-2.5262306,-0.306758888,-3.203529202,-2.997585795,-1.515520953,-1.971995552,0.588718291,-5.156387924,-4.452903779,-1.932151161,-2.575752384,-5.312930328,0.618620835,-8.064098015,-1.482057253,-2.356725646,-2.054610159,-0.635827477,0.138040558,-2.332889409,-5.859452371,-10.00951731,-3.957842318,-7.283514557,-0.65989958,-5.373910518,-3.935283549,-3.1970326,-2.056583646,-7.948469114,-2.659047873,-7.163578825,-2.999576421,-4.95576702,-1.373787336,-33.21635167,-1.435575273,-1.206654403,-5.162266962,-3.597374232,-3.5,-2.621338245,-2.6,-2.994167168,-4.082435326,-4.464189249,-3.433145225,-5.579531657,-4.72582668,-1.991520602,-5.730576642,-0.960844417,-3.16528451,-5.091638001,4.090785815,-10.88380509,-5.152040001,-4.479966393,-3.23029458,-6.269790575,-3.172056414,-1.560670795,6.492797629,-0.997122254,-4.114746457,-4.037947866,-2.970324822,2.367652801,-3.826675802,-0.767404851,-7.865604931,-5.840991564,-7.640206823,-2.621374609,-1.51625995,-0.615824915,-2.565500756,-2.706593187,-1.744707136,-8.093177114,-6.963468881,-3.5,-3.707484221,-7.081112397,-6.489060206,-3.574428091,-1.802512362,no data,-4.524036044,-4.557229898,-3.955500406,0.138267179,-5.049692562,-4.588794329,-8.982132383,-8.096970719,-9.991997808,-3.44096074,-4.179111832,-5.332088737,-2.661332771,-5.037604817,-4.482315628,-0.962969034,-4.923023803,-2.523010577,-4.422798055
2023,-9.461115527,1.655740087,no data,-3.862989348,-1.751471464,-4.980482976,-5.025281919,-0.834005106,-5.120582736,-2.629946889,-5.081307601,-5.634492003,-3.5,-3.858239776,-1.952246195,-2.985081891,2.162263451,-3.040825283,-9.993034167,-1.959549528,-0.673671661,4.841364923,-2.304208692,0.259714468,-2.364628379,-2.997610249,-0.246933309,-1.459414282,1.838093743,-4.36476325,-3.75091441,-1.932151161,-2.155374823,-4.925642502,0.836420544,-7.768978308,-0.98515404,-1.932681343,-2.178705705,-0.774450446,0.074222841,-1.292931612,-5.292922869,-9.569319064,-2.957619543,-7.651333025,0.098671621,-4.89960832,-2.691195353,-2.771705814,-1.526203739,-7.554263091,-2.688292222,-5.176609302,-2.999581721,-4.440078862,-0.830927236,-29.38281045,-0.231821885,-0.271902278,-4.840795232,-3.567552828,-3.5,-2.681347798,-2.5,-2.563041595,-3.293812997,-3.844649909,-1.497304507,-4.950646337,-4.398663735,-1.116714162,-3.774272997,-1.037165067,-2.477847058,-4.423276782,5.014884642,-9.980222887,-3.99086696,-4.139729854,-2.580804898,-6.212712362,-3.923766999,-0.708523031,7.420496941,-1.02955654,-3.509292697,-2.868461134,-2.977994471,2.504390331,-2.916128169,-0.220904351,-5.621532797,-4.732578312,-7.725535815,-2.418140185,0.296863763,-0.250945882,-2.500008474,-2.498486909,-1.924994973,-7.678335785,-6.985538195,-2.4,-2.906826632,-5.773792627,-5.552237985,-3.128518982,-1.046014573,no data,-4.120541744,-4.956929781,-2.877669085,0.218380928,-4.169472881,-3.72120323,-8.285560624,-7.474692269,-9.205075387,-3.401947941,-3.924502353,-4.698145825,-2.06074505,-4.62973921,-4.083138678,-1.078413111,-4.254845844,-2.087718409,-4.006238657
2024,-9.221874127,1.769714795,no data,-2.567812571,-1.166668504,-4.834062497,-4.416369369,-0.677278413,-5.220399201,-2.204751558,-4.54356521,-5.869871598,-3,-4.454165941,-1.666431361,-1.433983817,0.867222694,-2.314611859,-9.079613205,-0.875152691,-0.917664362,5.10807313,-2.244962642,1.121264563,-1.681559393,-2.996197691,-0.073772347,-1.609721125,2.405217568,-4.027417984,-3.665559872,-1.932151161,-1.911033291,-4.718511756,1.03613102,-7.164324764,-1.188603199,-2.111035274,-2.496184436,-0.874932639,0.130948724,-0.700055706,-5.394262487,-9.29720097,-2.769910024,-8.055199972,0.277667971,-4.425592166,-2.546543421,-2.649524998,-1.649198091,-7.195359392,-2.539318267,-4.185900358,-2.999533246,-3.795731034,-0.722800539,-29.88135878,-0.239657428,-0.056633677,-4.448715389,-3.177543772,-3,-2.912267566,-2.5,-2.411981198,-3.271182523,-3.085247907,-1.023701404,-4.711723938,-4.137625768,-0.422747676,-2.22264707,-2.182827162,-2.521302524,-4.526231421,5.559317406,-9.178345517,-3.483958725,-3.683030379,-2.047621683,-6.209939182,-3.847618292,-2.260203886,8.708413836,-1.003090713,-3.890421936,-1.626002526,-2.999682363,2.618029495,-2.688728643,-0.036081,-4.245300853,-3.928992847,-7.529169957,-1.987892494,0.283935778,-0.050945882,-2.506894489,-2.396550104,-1.917763598,-7.384179572,-5.677015844,-2.4,-2.527320952,-5.106899958,-5.405676067,-2.806805617,-0.663840175,no data,-3.87748834,-3.036740266,-1.975177558,-0.112793652,-3.888521221,-3.427063713,-7.658469842,-6.924378099,-8.468258461,-3.318180626,-3.821813517,-4.196572106,-1.810718587,-4.240871006,-3.864544463,-1.463977785,-4.308279894,-1.567586488,-3.914861948
2025,-8.590837151,1.876637136,no data,-1.978664113,-0.514703819,-5.166322334,-4.328364103,-0.804818856,-5.178943181,-2.148141132,-3.953993528,-5.89690463,-3,-4.33403939,-1.361636167,-0.272421437,1.816556416,-1.547382294,-8.134968825,-0.903389772,-0.881599713,5.463281957,-2.190017973,1.500589537,-1.142742442,-2.994535683,0.039236238,-1.577581784,2.260429235,-3.750282962,-3.033898679,-1.868294977,-1.663962264,-4.703510452,1.046098462,-6.286104385,-1.52836293,-2.152933965,-2.572835326,-0.906154279,0.130915493,-0.570909641,-5.134952993,-9.105384398,-2.506036233,-8.231618986,0.485750893,-3.941656335,-2.534107535,-2.738530508,-1.815369509,-7.001512891,-2.539318267,-3.366370828,-2.999582006,-3.677998792,-0.812558831,-28.4298756,0.045307178,0.001118232,-3.979113726,-3.143867701,-3,-2.6120361,-2.5,-2.411981198,-3.132134552,-2.533015006,-0.713236498,-4.17936057,-4.043775703,0.23312501,-1.381879916,-2.711352648,-2.452622165,-4.587732815,6.188101652,-8.434167947,-3.150350022,-3.384949061,-1.69767775,-6.060124937,-3.830419469,-1.786984021,10.1154537,-0.546264006,-3.703284638,-0.401862898,-2.980794776,2.613695939,-2.544440469,0.143972492,-3.075510032,-4.372810098,-7.391809032,-1.554964735,0.315049833,0.049054118,-2.500889393,-2.225419539,-1.892061806,-7.424666042,-4.961382065,-2.4,-2.216847423,-4.446460481,-5.497479069,-2.709141062,-0.616724393,no data,-3.304144809,-2.132045618,-0.062436748,-0.373099001,-3.832519708,-3.348095634,-6.980913635,-6.344143474,-7.716288721,-3.166898949,-3.672118439,-3.624917834,-1.755004818,-3.894345628,-3.658355179,-1.608285073,-4.317448201,-1.348874202,-3.792784144
